number,value,datetime_start,datetime_complete,duration,params_embedding_dimensions,params_embeddings_init_std,params_reg,state
0,0.6291098195435219,2022-01-31 23:41:59.505386,2022-01-31 23:43:51.216877,0 days 00:01:51.711491,21,0.02367035338145824,1.9365453068169994e-07,COMPLETE
1,0.966094522236128,2022-01-31 23:43:51.217959,2022-01-31 23:45:39.140479,0 days 00:01:47.922520,5,0.8891882331513616,4.859229404667923e-06,COMPLETE
2,0.7887796975812333,2022-01-31 23:45:39.141477,2022-01-31 23:47:32.641696,0 days 00:01:53.500219,30,0.1896927519609652,2.5706740801561064e-07,COMPLETE
3,0.897720048240298,2022-01-31 23:47:32.642689,2022-01-31 23:49:21.882769,0 days 00:01:49.240080,18,0.38977579999459583,9.940791130546293e-05,COMPLETE
4,0.6030523618792878,2022-01-31 23:49:21.883770,2022-01-31 23:51:11.648975,0 days 00:01:49.765205,22,0.01345838401151454,1.9167823395911252e-06,COMPLETE
5,0.9000526033238144,2022-01-31 23:51:11.649975,2022-01-31 23:53:01.896093,0 days 00:01:50.246118,5,0.12817379409456175,4.790007544933434e-08,COMPLETE
6,0.6367517949651972,2022-01-31 23:53:01.897093,2022-01-31 23:55:00.087308,0 days 00:01:58.190215,32,0.03947056702567982,5.5423603702412104e-05,COMPLETE
7,0.8297281699899883,2022-01-31 23:55:00.088309,2022-01-31 23:56:57.712383,0 days 00:01:57.624074,31,0.3006207271019471,6.008090160237325e-07,COMPLETE
8,0.640149664794411,2022-01-31 23:56:57.712925,2022-01-31 23:58:49.909885,0 days 00:01:52.196960,18,0.015421174833122879,3.346951761972002e-08,COMPLETE
9,0.7334892551965208,2022-01-31 23:58:49.910885,2022-02-01 00:00:38.485483,0 days 00:01:48.574598,16,0.059377214865613356,1.719859177558537e-05,COMPLETE
