number,value,datetime_start,datetime_complete,duration,params_embedding_dimensions,params_embeddings_init_std,params_reg,state
0,0.8668934300795358,2022-01-31 21:25:50.256143,2022-01-31 21:39:34.987086,0 days 00:13:44.730943,6,0.1629976230547335,6.591874519790134e-06,COMPLETE
1,0.9047094989067176,2022-01-31 21:39:34.987606,2022-01-31 21:51:31.712502,0 days 00:11:56.724896,13,0.2765111867675153,6.566933603013049e-05,COMPLETE
2,0.8992745508208936,2022-01-31 21:51:31.713504,2022-01-31 22:03:57.796231,0 days 00:12:26.082727,12,0.8657660724831594,7.983385813202092e-06,COMPLETE
3,0.8747689148928138,2022-01-31 22:03:57.796231,2022-01-31 22:16:44.599110,0 days 00:12:46.802879,7,0.1522156487673692,3.4936158005944782e-06,COMPLETE
4,0.973390397690276,2022-01-31 22:16:44.600175,2022-01-31 22:29:06.931630,0 days 00:12:22.331455,24,0.015379472483294432,2.278425370131219e-05,COMPLETE
5,0.9120015928672385,2022-01-31 22:29:06.932146,2022-01-31 22:40:54.919343,0 days 00:11:47.987197,15,0.01723319486753755,2.5263113111657892e-06,COMPLETE
6,0.9826958003729804,2022-01-31 22:40:54.920343,2022-01-31 22:52:35.909313,0 days 00:11:40.988970,24,0.1516452876374851,5.204652927066414e-06,COMPLETE
7,0.9442876903541808,2022-01-31 22:52:35.910356,2022-01-31 23:04:26.001512,0 days 00:11:50.091156,19,0.09874715653368374,1.9549824506336195e-08,COMPLETE
8,0.9784975241913102,2022-01-31 23:04:26.002511,2022-01-31 23:16:14.763980,0 days 00:11:48.761469,24,0.058390566451582485,6.482127810292836e-05,COMPLETE
9,1.0293734717732943,2022-01-31 23:16:14.764505,2022-01-31 23:28:08.672167,0 days 00:11:53.907662,31,0.3269752688597204,4.3288415337813417e-07,COMPLETE
