number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,0.60191734637089,2022-02-02 04:09:19.017511,2022-02-02 04:23:07.427711,0 days 00:13:48.410200,16,0.1,"{'reg_lambda': 0.1, 'hidden_size': 16}",COMPLETE
1,0.6505011952606463,2022-02-02 04:23:07.428761,2022-02-02 04:38:45.271348,0 days 00:15:37.842587,370,0.11600667068196623,,COMPLETE
2,0.6978122942764536,2022-02-02 04:38:45.272398,2022-02-02 04:53:16.971844,0 days 00:14:31.699446,231,0.5217564653527829,,COMPLETE
3,0.6774847981268927,2022-02-02 04:53:16.972844,2022-02-02 05:07:40.349536,0 days 00:14:23.376692,352,0.1983106813646501,,COMPLETE
4,0.6857403369821035,2022-02-02 05:07:40.350600,2022-02-02 05:23:22.676653,0 days 00:15:42.326053,497,0.27714976500535154,,COMPLETE
5,0.6493985878877676,2022-02-02 05:23:22.677166,2022-02-02 05:39:01.896923,0 days 00:15:39.219757,368,0.09478562552180268,,COMPLETE
6,0.6325460826692316,2022-02-02 05:39:01.897972,2022-02-02 05:53:14.087928,0 days 00:14:12.189956,155,0.2943829379738293,,COMPLETE
7,0.629112367961621,2022-02-02 05:53:14.087928,2022-02-02 06:08:21.314686,0 days 00:15:07.226758,383,0.016690930890088614,,COMPLETE
8,1.2290335326400377,2022-02-02 06:08:21.314686,2022-02-02 06:21:00.282334,0 days 00:12:38.967648,13,22.62321562223295,,COMPLETE
9,1.065389744074045,2022-02-02 06:21:00.283332,2022-02-02 06:36:37.688500,0 days 00:15:37.405168,458,24.719875550776205,,COMPLETE
