number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,0.9681406831200293,2022-02-02 03:46:56.285128,2022-02-02 03:48:49.028516,0 days 00:01:52.743388,16,0.1,"{'reg_lambda': 0.1, 'hidden_size': 16}",COMPLETE
1,1.0884377992720555,2022-02-02 03:48:49.029516,2022-02-02 03:50:54.301842,0 days 00:02:05.272326,453,82.58029982550497,,COMPLETE
2,0.9948296873401824,2022-02-02 03:50:54.302844,2022-02-02 03:52:48.815702,0 days 00:01:54.512858,65,14.045475560647873,,COMPLETE
3,1.0493651501924914,2022-02-02 03:52:48.816704,2022-02-02 03:54:51.225154,0 days 00:02:02.408450,195,0.11773040673464934,,COMPLETE
4,1.052708306562395,2022-02-02 03:54:51.225154,2022-02-02 03:56:53.883642,0 days 00:02:02.658488,183,0.02243992041557595,,COMPLETE
5,1.060168885410249,2022-02-02 03:56:53.884642,2022-02-02 03:59:02.941595,0 days 00:02:09.056953,260,0.00018478077201398234,,COMPLETE
6,1.0582241641711512,2022-02-02 03:59:02.942594,2022-02-02 04:01:09.919985,0 days 00:02:06.977391,233,0.0002916495869424809,,COMPLETE
7,1.0176684991913107,2022-02-02 04:01:09.919985,2022-02-02 04:03:22.963297,0 days 00:02:13.043312,459,0.0012783098668806205,,COMPLETE
8,0.9999406638710706,2022-02-02 04:03:22.964339,2022-02-02 04:05:18.488235,0 days 00:01:55.523896,67,0.00041633967743913013,,COMPLETE
9,1.0301947501142428,2022-02-02 04:05:18.489234,2022-02-02 04:07:14.970853,0 days 00:01:56.481619,104,0.0001491663515264016,,COMPLETE
