number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_input_noise_factor,params_latent_noise_factor,params_reg_lambda,system_attrs_fixed_params,state
0,0.5870986726487722,2022-02-03 10:20:28.075462,2022-02-03 10:33:35.946868,0 days 00:13:07.871406,32,0.1,0.0,0.1,"{'reg_lambda': 0.1, 'hidden_size': 32, 'input_noise_factor': 0.1, 'latent_noise_factor': 0}",COMPLETE
1,1.0879769731639797,2022-02-03 10:33:35.948868,2022-02-03 10:47:56.834509,0 days 00:14:20.885641,268,0.9584642449835669,0.025226918123628872,43.881096251097766,,COMPLETE
2,1.1797785561862775,2022-02-03 10:47:56.835510,2022-02-03 11:03:20.894720,0 days 00:15:24.059210,363,0.3136434273921034,0.9272234604755837,0.00012903286331057104,,COMPLETE
3,1.1944523750901053,2022-02-03 11:03:20.895721,2022-02-03 11:17:24.221108,0 days 00:14:03.325387,254,0.31342016915653004,0.6218096575887584,0.0001592618769514613,,COMPLETE
4,0.633532765561302,2022-02-03 11:17:24.222109,2022-02-03 11:31:01.035163,0 days 00:13:36.813054,146,0.12333896949153134,0.5608616910034319,0.03436241694919872,,COMPLETE
5,2.8232303546961135,2022-02-03 11:31:01.035163,2022-02-03 11:45:50.540179,0 days 00:14:49.505016,401,0.9719497916909148,0.0845058831451837,0.00016839490592564945,,COMPLETE
6,0.6082232987317335,2022-02-03 11:45:50.541179,2022-02-03 11:58:53.098462,0 days 00:13:02.557283,12,0.8166471011965533,0.6758594660705456,0.012188835149383893,,COMPLETE
7,0.7409987257120366,2022-02-03 11:58:53.098462,2022-02-03 12:11:59.720157,0 days 00:13:06.621695,79,0.47318463595014326,0.5182795840276774,0.01619482036416446,,COMPLETE
8,0.9978390049691132,2022-02-03 12:11:59.721157,2022-02-03 12:26:34.594997,0 days 00:14:34.873840,457,0.834337307950141,0.6825245134242247,20.917072983231282,,COMPLETE
9,1.1392371476992877,2022-02-03 12:26:34.595998,2022-02-03 12:40:18.645338,0 days 00:13:44.049340,408,0.631978514661476,0.8010726377572917,81.12593053948125,,COMPLETE
10,0.6887583047687621,2022-02-03 12:40:18.646338,2022-02-03 12:52:52.756947,0 days 00:12:34.110609,170,0.0008568893084510143,0.2830848718594826,1.7334260811143147,,COMPLETE
11,0.6476296617510398,2022-02-03 12:52:52.757948,2022-02-03 13:05:04.845500,0 days 00:12:12.087552,21,0.6032450905386497,0.31864142903579523,0.2870103127106542,,COMPLETE
12,0.5916455183368738,2022-02-03 13:05:04.846501,2022-02-03 13:16:57.566739,0 days 00:11:52.720238,17,0.7337493349464119,0.3744714023033657,0.0030912904625928746,,COMPLETE
13,1.1902851501975014,2022-02-03 13:16:57.567739,2022-02-03 13:28:57.958840,0 days 00:12:00.391101,104,0.3806356767448396,0.2824043520669173,0.0020497215594286757,,COMPLETE
14,1.3594658264587656,2022-02-03 13:28:57.958840,2022-02-03 13:41:25.654703,0 days 00:12:27.695863,202,0.727761500774745,0.16368985912097272,0.0013571553536060837,,COMPLETE
15,0.6527558721464539,2022-02-03 13:41:25.655703,2022-02-03 13:53:32.100762,0 days 00:12:06.445059,70,0.12112170507695036,0.4172308145212588,0.9665700883863775,,COMPLETE
16,0.5890133284790727,2022-02-03 13:53:32.100762,2022-02-03 14:05:04.286755,0 days 00:11:32.185993,9,0.5384056638869544,0.15107365771123388,0.0017108474463597748,,COMPLETE
17,0.6580895082731512,2022-02-03 14:05:04.287757,2022-02-03 14:18:02.861455,0 days 00:12:58.573698,290,0.45220977882883917,0.2059266465587404,0.13974835737080152,,COMPLETE
18,0.7562735181006103,2022-02-03 14:18:02.862457,2022-02-03 14:30:07.188056,0 days 00:12:04.325599,120,0.2076077582980254,0.028957600981698292,3.9820369190981983,,COMPLETE
19,1.2324046651561897,2022-02-03 14:30:07.189057,2022-02-03 14:42:40.318626,0 days 00:12:33.129569,199,0.5796727427158878,0.15292146991382416,0.000725476663895144,,COMPLETE
