number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_input_noise_factor,params_latent_noise_factor,params_reg_lambda,system_attrs_fixed_params,state
0,0.968928697205748,2022-02-02 21:28:37.977525,2022-02-02 21:31:08.624524,0 days 00:02:30.646999,935,0.1,0.0,0.1,"{'reg_lambda': 0.1, 'hidden_size': 935, 'input_noise_factor': 0.1, 'latent_noise_factor': 0}",COMPLETE
1,0.9653959769596653,2022-02-02 21:31:08.625524,2022-02-02 21:33:34.463524,0 days 00:02:25.838000,773,0.1975137173391408,0.07869893732459465,0.0003163887064036399,,COMPLETE
2,0.9574421150344641,2022-02-02 21:33:34.464524,2022-02-02 21:36:09.121525,0 days 00:02:34.657001,952,0.04304166746231697,0.07287026932253537,0.022488798501630762,,COMPLETE
3,0.9425720319312901,2022-02-02 21:36:09.122526,2022-02-02 21:38:42.742092,0 days 00:02:33.619566,766,0.5574017136892031,0.2637115923780471,0.014435486556488799,,COMPLETE
4,0.9632763281883511,2022-02-02 21:38:42.743092,2022-02-02 21:41:13.540627,0 days 00:02:30.797535,749,0.4265650291200801,0.2564739418124927,0.4580941383735295,,COMPLETE
5,0.9266722726189018,2022-02-02 21:41:13.541627,2022-02-02 21:43:32.397954,0 days 00:02:18.856327,715,0.6017954985234073,0.673238400106024,0.01220669254602069,,COMPLETE
6,0.9521982346252954,2022-02-02 21:43:32.398955,2022-02-02 21:46:07.874956,0 days 00:02:35.476001,1017,0.7642358742672407,0.640561872326735,0.5345437826637857,,COMPLETE
7,0.9422734325044871,2022-02-02 21:46:07.874956,2022-02-02 21:48:42.825954,0 days 00:02:34.950998,889,0.8853444244982192,0.4105799673119772,0.10848370614587347,,COMPLETE
8,0.918776002570085,2022-02-02 21:48:42.826954,2022-02-02 21:51:19.651955,0 days 00:02:36.825001,908,0.8594360564174511,0.6774636779437467,0.0007240242470857468,,COMPLETE
9,1.004471606753541,2022-02-02 21:51:19.652956,2022-02-02 21:53:43.952549,0 days 00:02:24.299593,630,0.11948037897262431,0.5039714645392565,16.27805213433654,,COMPLETE
