number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,0.7644211116109424,2022-02-01 21:45:12.191170,2022-02-01 22:18:47.004795,0 days 00:33:34.813625,512,0.1,"{'reg_lambda': 0.1, 'hidden_size': 512}",COMPLETE
1,0.9014258717138935,2022-02-01 22:18:47.004795,2022-02-01 22:51:43.642622,0 days 00:32:56.637827,491,404.4452645474703,,COMPLETE
2,0.7912080953379032,2022-02-01 22:51:43.643623,2022-02-01 23:21:45.992979,0 days 00:30:02.349356,255,0.00028704466685386203,,COMPLETE
3,0.8190493478285283,2022-02-01 23:21:45.993979,2022-02-01 23:52:26.364706,0 days 00:30:40.370727,316,0.3674633427345667,,COMPLETE
4,0.7513923209239739,2022-02-01 23:52:26.365706,2022-02-02 00:25:03.024402,0 days 00:32:36.658696,195,0.09873789771443141,,COMPLETE
5,0.7920445167022836,2022-02-02 00:25:03.025454,2022-02-02 01:02:00.054592,0 days 00:36:57.029138,570,0.00013639695432723535,,COMPLETE
6,0.7783102744170998,2022-02-02 01:02:00.056204,2022-02-02 01:34:51.686335,0 days 00:32:51.630131,320,0.0005096255492584687,,COMPLETE
7,0.8488631161623089,2022-02-02 01:34:51.687360,2022-02-02 02:07:23.559958,0 days 00:32:31.872598,402,0.5453751755237876,,COMPLETE
8,0.7507622081198633,2022-02-02 02:07:23.560488,2022-02-02 02:40:48.799070,0 days 00:33:25.238582,468,0.002885606822088767,,COMPLETE
9,0.7802933750339598,2022-02-02 02:40:48.799070,2022-02-02 03:12:50.708129,0 days 00:32:01.909059,232,0.17033129382565132,,COMPLETE
