number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,0.8843777622532476,2022-02-01 20:58:30.105427,2022-02-01 21:03:25.114755,0 days 00:04:55.009328,512,0.1,"{'reg_lambda': 0.1, 'hidden_size': 512}",COMPLETE
1,0.904474918560596,2022-02-01 21:03:25.115751,2022-02-01 21:07:49.898768,0 days 00:04:24.783017,606,0.008508372894690914,,COMPLETE
2,0.9830107469247744,2022-02-01 21:07:49.899770,2022-02-01 21:11:54.491771,0 days 00:04:04.592001,227,11.077321844531424,,COMPLETE
3,0.9077641065231699,2022-02-01 21:11:54.492773,2022-02-01 21:16:05.047012,0 days 00:04:10.554239,407,0.16474112145126835,,COMPLETE
4,0.9372667452925348,2022-02-01 21:16:05.048012,2022-02-01 21:20:17.417169,0 days 00:04:12.369157,477,0.014461117183213959,,COMPLETE
5,0.907993553620214,2022-02-01 21:20:17.418169,2022-02-01 21:24:38.294305,0 days 00:04:20.876136,716,0.0008354360234336683,,COMPLETE
6,1.0192865843019636,2022-02-01 21:24:38.295305,2022-02-01 21:28:26.944070,0 days 00:03:48.648765,370,0.0001813514356465006,,COMPLETE
7,0.9759337906406124,2022-02-01 21:28:26.945071,2022-02-01 21:32:08.631614,0 days 00:03:41.686543,177,5.636188612294026,,COMPLETE
8,0.8410740003334617,2022-02-01 21:32:08.632613,2022-02-01 21:36:24.396225,0 days 00:04:15.763612,967,0.04174713034841211,,COMPLETE
9,0.9742199081999322,2022-02-01 21:36:24.396225,2022-02-01 21:40:25.758024,0 days 00:04:01.361799,414,9.69378648424191,,COMPLETE
