number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_reg_lambda,system_attrs_fixed_params,state
0,0.8849982193818472,2022-01-27 14:46:19.232374,2022-01-27 14:58:01.267767,0 days 00:11:42.035393,512,0.1,"{'reg_lambda': 0.1, 'hidden_size': 512}",COMPLETE
1,0.8386052188523788,2022-01-27 14:58:01.268768,2022-01-27 15:16:10.485295,0 days 00:18:09.216527,935,0.6131287064954554,,COMPLETE
2,1.0192402890962806,2022-01-27 15:16:10.486296,2022-01-27 15:28:22.519516,0 days 00:12:12.033220,525,241.6660964476651,,COMPLETE
3,0.8934898582246084,2022-01-27 15:28:22.520516,2022-01-27 15:45:55.515725,0 days 00:17:32.995209,862,0.00011369635474569018,,COMPLETE
4,0.8846617343642349,2022-01-27 15:45:55.516725,2022-01-27 16:02:51.557909,0 days 00:16:56.041184,820,0.002945227007653406,,COMPLETE
5,1.0175452285008262,2022-01-27 16:02:51.558909,2022-01-27 16:19:26.060953,0 days 00:16:34.502044,794,88.24574260617702,,COMPLETE
6,0.9628392387023542,2022-01-27 16:19:26.061953,2022-01-27 16:30:58.465051,0 days 00:11:32.403098,463,0.0026274784146839694,,COMPLETE
7,1.00941222959247,2022-01-27 16:30:58.466051,2022-01-27 16:44:10.801985,0 days 00:13:12.335934,569,27.66167129690369,,COMPLETE
8,1.0088376042472538,2022-01-27 16:44:10.802986,2022-01-27 16:56:11.584621,0 days 00:12:00.781635,497,126.61602879189543,,COMPLETE
9,1.012859566591553,2022-01-27 16:56:11.585621,2022-01-27 17:08:14.624829,0 days 00:12:03.039208,501,64.45232428393169,,COMPLETE
