number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_input_noise_factor,params_latent_noise_factor,params_reg_lambda,system_attrs_fixed_params,state
0,2.6329256222822233,2022-02-01 10:26:56.521368,2022-02-01 10:52:03.774425,0 days 00:25:07.253057,935,0.1,0.0,0.1,"{'reg_lambda': 0.1, 'hidden_size': 935, 'input_noise_factor': 0.1, 'latent_noise_factor': 0}",COMPLETE
1,4.136695984227518,2022-02-01 10:52:03.775425,2022-02-01 11:14:39.914005,0 days 00:22:36.138580,551,0.02071061219679937,0.896162798130292,17.196286514199212,,COMPLETE
2,2.842030221069693,2022-02-01 11:14:39.915004,2022-02-01 11:39:39.249177,0 days 00:24:59.334173,891,0.0836563678854998,0.41316892208479794,0.8531736207463685,,COMPLETE
3,4.4109447128165,2022-02-01 11:39:39.250177,2022-02-01 12:03:17.551962,0 days 00:23:38.301785,712,0.4310809072238472,0.1738701196569573,31.06250052202548,,COMPLETE
4,4.071421949555142,2022-02-01 12:03:17.552961,2022-02-01 12:28:50.117484,0 days 00:25:32.564523,1019,0.1468031823370599,0.8743852516868249,21.788887521038305,,COMPLETE
5,4.9349988788933175,2022-02-01 12:28:50.118485,2022-02-01 12:52:05.021506,0 days 00:23:14.903021,557,0.4687654417232522,0.4025684646649047,61.95683111669005,,COMPLETE
6,5.124066590983933,2022-02-01 12:52:05.022506,2022-02-01 13:15:44.457728,0 days 00:23:39.435222,582,0.8079027601750387,0.6982639431885921,32.25752906183101,,COMPLETE
7,5.009899334229314,2022-02-01 13:15:44.458728,2022-02-01 13:39:05.558029,0 days 00:23:21.099301,611,0.5761442863393131,0.04860615479311048,0.5206957275586426,,COMPLETE
8,4.872322772442998,2022-02-01 13:39:05.558560,2022-02-01 14:03:27.080147,0 days 00:24:21.521587,796,0.6197760725150155,0.8392876811038164,4.184477382280246,,COMPLETE
9,5.455029880302254,2022-02-01 14:03:27.081146,2022-02-01 14:28:54.197045,0 days 00:25:27.115899,935,0.7662661674701572,0.1870339665903502,0.010738391337969914,,COMPLETE
