number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_input_noise_factor,params_latent_noise_factor,params_reg_lambda,system_attrs_fixed_params,state
0,0.8243702309361818,2022-02-02 06:50:43.043919,2022-02-02 06:55:26.063150,0 days 00:04:43.019231,935,0.1,0.0,0.1,"{'reg_lambda': 0.1, 'hidden_size': 935, 'input_noise_factor': 0.1, 'latent_noise_factor': 0}",COMPLETE
1,1.0163383955544931,2022-02-02 06:55:26.063675,2022-02-02 07:00:09.555521,0 days 00:04:43.491846,993,0.9956121102019657,0.896526452524195,51.013517791508,,COMPLETE
2,0.9363830707837759,2022-02-02 07:00:09.555521,2022-02-02 07:04:49.825838,0 days 00:04:40.270317,968,0.3310515374067088,0.3669189302717588,3.5993377345451667,,COMPLETE
3,0.8577550792410286,2022-02-02 07:04:49.826837,2022-02-02 07:09:32.067396,0 days 00:04:42.240559,1023,0.648762161406216,0.24028832685207346,0.2566135609935291,,COMPLETE
4,0.9294361561458588,2022-02-02 07:09:32.068396,2022-02-02 07:14:12.209626,0 days 00:04:40.141230,968,0.9158342707046131,0.8417350156595117,0.0005548968820290758,,COMPLETE
5,0.9030013364936524,2022-02-02 07:14:12.210627,2022-02-02 07:18:43.286864,0 days 00:04:31.076237,755,0.7583125922307665,0.3809011915502384,0.0001465194360995415,,COMPLETE
6,0.8975662768740729,2022-02-02 07:18:43.287865,2022-02-02 07:23:00.334669,0 days 00:04:17.046804,615,0.6548337291792588,0.12056636567581636,0.02126853535609515,,COMPLETE
7,0.9685775253363458,2022-02-02 07:23:00.335193,2022-02-02 07:27:36.473980,0 days 00:04:36.138787,940,0.15226079400255677,0.966799692638674,1.1863605661460774,,COMPLETE
8,0.9212766715380956,2022-02-02 07:27:36.475032,2022-02-02 07:32:21.511766,0 days 00:04:45.036734,892,0.5697430596415589,0.9181726243039072,0.0002395088047422519,,COMPLETE
9,0.9383372138202447,2022-02-02 07:32:21.512768,2022-02-02 07:37:05.415625,0 days 00:04:43.902857,908,0.6990269196936081,0.16541951857162152,4.822224827294195,,COMPLETE
